[(12.9696429, 77.5795574)],[ChIJwxbi0wsWrjsRzXgXQQ7ahRQ]
[(12.9709457, 77.58014709999998)],[ChIJrYVy6QsWrjsRz3SGbWqUR9c]
[(12.9719702, 77.58062789999997)],[ChIJu2sDwwsWrjsR_3IdJAppoxA]
[(12.9712304, 77.5804779)],[ChIJjyD87AsWrjsR6GjDilylrZY]
[(12.9713822, 77.58034889999999)],[ChIJNTeS7QsWrjsReWeEyy_kZG0]
[(12.970738, 77.58039699999995)],[ChIJXeQqwAsWrjsR3F8IHpe7Ezw]
[(12.9717419, 77.58053970000003)],[ChIJO9NL8wsWrjsR7ltothEibtw]
[(12.970784, 77.58030200000007)],[ChIJK7By6gsWrjsRPFq97l1K1CY]
[(12.9705775, 77.58017930000005)],[ChIJ4Xc3wgsWrjsRoFO8PXKlpss]
[(12.9703615, 77.58013310000001)],[ChIJc4MLxAsWrjsRt006HTEUFq4]
[(12.970852, 77.58125799999993)],[ChIJqfgCjAkWrjsRwkedsKj9z2g]
[(12.9705647, 77.57996939999998)],[ChIJUS7nwgsWrjsRi0StWUpssCo]
[(12.971446, 77.58034199999997)],[ChIJew2I7QsWrjsRsjIqVg-bjIs]
[(12.971017, 77.58018300000003)],[ChIJKz9c6QsWrjsRmjLPfiSx5pM]
[(12.9713209, 77.58052369999996)],[ChIJdXQW7QsWrjsRhR8YuEMj68Q]
[(12.971098, 77.57392260000006)],[ChIJrVmbpQgWrjsRk3Rega4W9IQ]
[(12.964183, 77.55123300000002)],[ChIJDet67wc-rjsRnwJm_van2dM]
[(12.9674792, 77.57902239999999)],[ChIJH_Is9AkWrjsRTccIoO_Urhc]
[(12.970667, 77.56086700000003)],[ChIJx6rUSP89rjsROOLUEm__fzM]
[(12.9648033, 77.56995440000003)],[ChIJE7S8mf0VrjsRjDvcsSFijCI]
[(12.970014, 77.57144800000003)],[ChIJ1eWcQwYWrjsR1Ma39fGa5ow]
[(12.9756, 77.57618300000001)],[ChIJbwhPnA4WrjsRH51elJSnIIM]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRgcXmytB6lnI]
[(12.977454, 77.57693399999994)],[ChIJW_CIKA4WrjsR5yA6o_RHuVQ]
[(12.964464, 77.55384400000003)],[ChIJc0SOcAc-rjsRxVjkZOUXoS4]
